"H_Rank","Indeterminate_adj","Altitude","Slope","AMT","AP","MDTR","ISO","TS","PS","MTWQ","PDQ","RAD","WIND","AI","ET0","AMTd","APd","AMTsd","APsd","CSI","BULK","ECE","OC","PH","SAND","Soildiv"
0.467889908,0.637425799,881.279618,6.626789241,10.69144871,577.2432727,12.40030837,26.26432898,866.7767833,102.0086489,20.05761365,0.352933,15846.1383,2.996649555,0.013360817,1113.596415,70.68492515,43.03033839,0.145573775,0.070752568,0.412403183,1.50217984,0.618829884,1.028958129,5.327992427,32.06740254,55
0.933944954,0.697747584,337.0225047,4.213102479,-1.532760051,269.5704067,13.86661617,50.47358272,820.3171428,52.87251361,6.232107252,8.221337676,14318.00176,3.544950961,0.990767582,1270.178031,-50.09950683,-22.39217557,0.11957672,0.038583941,0.3359732,1.435297854,1.284878015,1.362747888,7.242610732,40.56265228,21
0.122018349,0.725333545,155.8158721,5.982639045,17.22869461,1383.258646,12.74525808,24.25713749,1287.040887,82.31737704,20.72204593,4.520450119,12363.95106,3.810388387,0.368540066,835.7561304,120.4061697,160.3466116,0.275619392,0.077776667,0.270077332,1.444118856,0.107871297,1.67601586,7.271014563,53.79059478,15
0.866055046,0.69423676,236.5659523,3.227989006,7.585674465,332.527479,14.38499148,34.08796411,860.7651771,84.72390062,24.74360548,46.11424532,16304.11475,2.059087751,0.412491036,928.4625352,-100.2332109,57.52793746,0.112509251,0.119662642,0.355373962,1.425373005,0.092930804,1.357179693,6.500126672,33.64343939,24
0.124311927,0.676188487,772.4604981,0.292485505,-3.283035983,614.894644,7.356250048,24.49339533,775.6463853,116.8108562,17.73740385,9.879122849,13206.59529,3.057281456,0.022226005,1225.593486,134.5174052,14.1330435,0.200404553,0.080728998,0.273479787,1.34948223,0.125287183,1.272322824,6.672241053,40.09497678,30
0.013302752,0.699936614,324.3142466,2.257653262,12.35694342,155.7054347,13.67686434,21.49000425,559.9396233,96.18576467,24.47888216,8.711065189,14529.21827,3.073417154,0.969712217,980.4904103,138.4418129,26.42926883,0.234001055,0.091481352,0.310760339,1.360852823,0.23733909,1.200584286,6.874446267,51.53770117,21
0.666055046,0.758194999,1104.563499,3.299245205,18.49587681,26.65502154,7.10434897,27.46037772,1399.716802,39.00241739,21.51031114,79.12313967,16495.98537,3.726102777,0.270583624,1193.844405,-76.42237201,116.5159655,0.227485562,0.029300922,0.238668104,1.400529702,0.257349552,0.971152252,5.531746849,40.29295819,18
0.955045872,0.707433681,1189.413066,9.05185043,5.277202313,34.86040037,15.63496283,26.8681677,1137.859579,74.8407351,28.0544162,7.828867821,12854.05933,2.304917277,1.154708361,1369.763875,-0.569780277,-100.4351167,0.19153639,0.050958362,0.25739291,1.394741289,0.105624014,0.560656817,6.254653494,46.64071503,37
0.018807339,0.680753885,4569.407699,2.394707675,-8.651400005,781.0867853,14.11050098,36.90644973,1283.098249,103.015983,8.355049039,42.86018071,16114.96453,2.289222017,0.381291158,1197.361735,58.06138046,2.864,0.178659921,0.024207384,0.419717595,1.490323352,0.603923708,0.973525536,5.529144731,36.09019608,28
0.157798165,0.669468687,1009.989702,0.886077428,-0.3130705,77.84981259,12.06911551,24.09145672,844.8366816,117.325567,21.84274193,27.27734499,13897.17256,3.254506483,0.112195194,1291.658722,23.15921576,-53.3271168,0.219949874,0.117674184,0.46812581,1.341145101,0.233946659,0.599910979,7.828308349,36.21419388,26
